code,name,population,population_65
1000,Praha,1324277,251166
2101,Benešov,61022,12125
2102,Beroun,64927,11392
2103,Brandýs nad Labem-Stará Boleslav,113282,16416
2104,Čáslav,25663,5212
2105,Černošice,149338,23399
2106,Český Brod,21537,3709
2107,Dobříš,23079,4340
2108,Hořovice,30131,6103
2109,Kladno,125957,24239
2110,Kolín,83500,16849
2111,Kralupy nad Vltavou,32515,5889
2112,Kutná Hora,50165,10703
2113,Lysá nad Labem,26907,3448
2114,Mělník,44600,8655
2115,Mladá Boleslav,112464,20603
2116,Mnichovo Hradiště,17901,3388
2117,Neratovice,32187,5907
2118,Nymburk,40183,8167
2119,Poděbrady,31382,6883
2120,Příbram,69951,14592
2121,Rakovník,55562,11623
2122,Říčany,71896,11376
2123,Sedlčany,22074,4717
2124,Slaný,40526,7771
2125,Vlašim,25947,5665
2126,Votice,12445,2654
3101,Blatná,13668,3093
3102,České Budějovice,162553,31763
3103,Český Krumlov,41687,7954
3104,Dačice,18783,3961
3105,Jindřichův Hradec,47113,10139
3106,Kaplice,19869,3447
3107,Milevsko,18235,4397
3108,Písek,53352,11354
3109,Prachatice,33458,6497
3110,Soběslav,21947,4860
3111,Strakonice,45223,9454
3112,Tábor,80648,17257
3113,Trhové Sviny,19267,3657
3114,Třeboň,24796,5563
3115,Týn nad Vltavou,14083,2594
3116,Vimperk,17520,3591
3117,Vodňany,11881,2251
3201,Blovice,12185,2566
3202,Domažlice,40679,8358
3203,Horažďovice,11535,2662
3204,Horšovský Týn,14825,2829
3205,Klatovy,50720,10750
3206,Kralovice,22367,4828
3207,Nepomuk,11583,2650
3208,Nýřany,57612,10436
3209,Plzeň,194280,40386
3210,Přeštice,22885,4449
3211,Rokycany,49349,10085
3212,Stod,23393,4517
3213,Stříbro,17190,3184
3214,Sušice,24150,5546
3215,Tachov,37146,6444
4101,Aš,17695,3278
4102,Cheb,49955,9806
4103,Karlovy Vary,87182,19250
4104,Kraslice,13184,2750
4105,Mariánské Lázně,23984,5419
4106,Ostrov,27636,5453
4107,Sokolov,75028,14222
4201,Bílina,22600,3935
4202,Děčín,76842,16362
4203,Chomutov,81662,14681
4204,Kadaň,43284,8078
4205,Litoměřice,59110,11658
4206,Litvínov,37035,7785
4207,Louny,43640,8545
4208,Lovosice,27750,5804
4209,Most,74673,13629
4210,Podbořany,15678,3106
4211,Roudnice nad Labem,32808,6650
4212,Rumburk,32795,6681
4213,Teplice,106472,21215
4214,Ústí nad Labem,119338,23971
4215,Varnsdorf,19905,4211
4216,Žatec,27373,5216
5101,Česká Lípa,76998,14036
5102,Frýdlant,24479,4944
5103,Jablonec nad Nisou,56206,11517
5104,Jilemnice,22137,4768
5105,Liberec,145676,28910
5106,Nový Bor,26302,5736
5107,Semily,25675,5599
5108,Tanvald,20412,4465
5109,Turnov,33623,7134
5110,Železný Brod,12182,2797
5201,Broumov,15876,3561
5202,Dobruška,20190,4276
5203,Dvůr Králové nad Labem,26949,6223
5204,Hořice,18377,4041
5205,Hradec Králové,146899,32484
5206,Jaroměř,19273,3792
5207,Jičín,48382,10108
5208,Kostelec nad Orlicí,24892,5311
5209,Náchod,60595,13494
5210,Nová Paka,13286,2887
5211,Nové Město nad Metují,14214,3321
5212,Nový Bydžov,17384,3627
5213,Rychnov nad Kněžnou,34301,6810
5214,Trutnov,63419,13537
5215,Vrchlabí,27610,5935
5301,Česká Třebová,17969,3841
5302,Hlinsko,21017,4465
5303,Holice,17910,3461
5304,Chrudim,83596,17211
5305,Králíky,8676,1838
5306,Lanškroun,23140,4468
5307,Litomyšl,27205,5327
5308,Moravská Třebová,26138,5476
5309,Pardubice,131691,26335
5310,Polička,19611,3995
5311,Přelouč,25840,5172
5312,Svitavy,31379,6533
5313,Ústí nad Orlicí,26573,5651
5314,Vysoké Mýto,32454,6661
5315,Žamberk,29463,5651
6101,Bystřice nad Pernštejnem,19755,4235
6102,Havlíčkův Brod,52932,10770
6103,Humpolec,17852,3773
6104,Chotěboř,21872,4804
6105,Jihlava,101074,19707
6106,Moravské Budějovice,23098,4818
6107,Náměšť nad Oslavou,13440,2841
6108,Nové Město na Moravě,19386,4017
6109,Pacov,9364,2205
6110,Pelhřimov,45086,9648
6111,Světlá nad Sázavou,19690,4322
6112,Telč,12975,2736
6113,Třebíč,74272,15148
6114,Velké Meziříčí,36390,6564
6115,Žďár nad Sázavou,42627,8703
6201,Blansko,57126,11918
6202,Boskovice,52010,10490
6203,Brno,381346,79457
6204,Břeclav,59715,12216
6205,Bučovice,16111,3177
6206,Hodonín,60685,12248
6207,Hustopeče,36311,6981
6208,Ivančice,24459,4805
6209,Kuřim,23345,4177
6210,Kyjov,55543,11542
6211,Mikulov,20265,3954
6212,Moravský Krumlov,22452,4592
6213,Pohořelice,14599,2588
6214,Rosice,26284,5080
6215,Slavkov u Brna,24027,4191
6216,Šlapanice,70414,12564
6217,Tišnov,31725,6213
6218,Veselí nad Moravou,37715,8138
6219,Vyškov,52142,10312
6220,Znojmo,91899,18089
6221,Židlochovice,33816,5888
7101,Hranice,34146,6800
7102,Jeseník,37968,8400
7103,Konice,10634,2373
7104,Lipník nad Bečvou,15130,2913
7105,Litovel,23715,4914
7106,Mohelnice,18362,3710
7107,Olomouc,165165,32742
7108,Prostějov,98012,20139
7109,Přerov,80236,17534
7110,Šternberk,24164,4837
7111,Šumperk,68988,15147
7112,Uničov,22428,4534
7113,Zábřeh,33067,6892
7201,Bystřice pod Hostýnem,15242,3294
7202,Holešov,21540,4371
7203,Kroměříž,68561,14596
7204,Luhačovice,18624,3952
7205,Otrokovice,34276,7438
7206,Rožnov pod Radhoštěm,35175,7559
7207,Uherské Hradiště,90117,18605
7208,Uherský Brod,52109,10911
7209,Valašské Klobouky,23102,4300
7210,Valašské Meziříčí,41831,8296
7211,Vizovice,17153,3096
7212,Vsetín,65522,13208
7213,Zlín,99303,21713
8101,Bílovec,25622,5035
8102,Bohumín,33366,6681
8103,Bruntál,36418,7282
8104,Český Těšín,25687,4960
8105,Frenštát pod Radhoštěm,19541,3851
8106,Frýdek-Místek,112433,21794
8107,Frýdlant nad Ostravicí,24950,5239
8108,Havířov,86494,18457
8109,Hlučín,40639,7899
8110,Jablunkov,22664,3972
8111,Karviná,63614,13403
