date,code,name,score
2020-12-31,1000,Praha,90
2020-12-31,2101,Benešov,94
2020-12-31,2102,Beroun,104
2020-12-31,2103,Brandýs nad Labem-Stará Boleslav,100
2020-12-31,2104,Čáslav,104
2020-12-31,2105,Černošice,85
2020-12-31,2106,Český Brod,100
2020-12-31,2107,Dobříš,91
2020-12-31,2108,Hořovice,95
2020-12-31,2109,Kladno,94
2020-12-31,2110,Kolín,99
2020-12-31,2111,Kralupy nad Vltavou,94
2020-12-31,2112,Kutná Hora,99
2020-12-31,2113,Lysá nad Labem,100
2020-12-31,2114,Mělník,100
2020-12-31,2115,Mladá Boleslav,76
2020-12-31,2116,Mnichovo Hradiště,80
2020-12-31,2117,Neratovice,100
2020-12-31,2118,Nymburk,99
2020-12-31,2119,Poděbrady,99
2020-12-31,2120,Příbram,94
2020-12-31,2121,Rakovník,104
2020-12-31,2122,Říčany,90
2020-12-31,2123,Sedlčany,76
2020-12-31,2124,Slaný,94
2020-12-31,2125,Vlašim,90
2020-12-31,2126,Votice,91
2020-12-31,3101,Blatná,99
2020-12-31,3102,České Budějovice,86
2020-12-31,3103,Český Krumlov,71
2020-12-31,3104,Dačice,75
2020-12-31,3105,Jindřichův Hradec,86
2020-12-31,3106,Kaplice,95
2020-12-31,3107,Milevsko,86
2020-12-31,3108,Písek,76
2020-12-31,3109,Prachatice,82
2020-12-31,3110,Soběslav,100
2020-12-31,3111,Strakonice,91
2020-12-31,3112,Tábor,96
2020-12-31,3113,Trhové Sviny,86
2020-12-31,3114,Třeboň,99
2020-12-31,3115,Týn nad Vltavou,104
2020-12-31,3116,Vimperk,76
2020-12-31,3117,Vodňany,96
2020-12-31,3201,Blovice,99
2020-12-31,3202,Domažlice,76
2020-12-31,3203,Horažďovice,100
2020-12-31,3204,Horšovský Týn,88
2020-12-31,3205,Klatovy,83
2020-12-31,3206,Kralovice,81
2020-12-31,3207,Nepomuk,97
2020-12-31,3208,Nýřany,80
2020-12-31,3209,Plzeň,85
2020-12-31,3210,Přeštice,90
2020-12-31,3211,Rokycany,95
2020-12-31,3212,Stod,89
2020-12-31,3213,Stříbro,84
2020-12-31,3214,Sušice,81
2020-12-31,3215,Tachov,81
2020-12-31,4101,Aš,88
2020-12-31,4102,Cheb,104
2020-12-31,4103,Karlovy Vary,81
2020-12-31,4104,Kraslice,89
2020-12-31,4105,Mariánské Lázně,86
2020-12-31,4106,Ostrov,81
2020-12-31,4107,Sokolov,85
2020-12-31,4201,Bílina,91
2020-12-31,4202,Děčín,90
2020-12-31,4203,Chomutov,81
2020-12-31,4204,Kadaň,80
2020-12-31,4205,Litoměřice,81
2020-12-31,4206,Litvínov,91
2020-12-31,4207,Louny,74
2020-12-31,4208,Lovosice,91
2020-12-31,4209,Most,85
2020-12-31,4210,Podbořany,76
2020-12-31,4211,Roudnice nad Labem,82
2020-12-31,4212,Rumburk,90
2020-12-31,4213,Teplice,100
2020-12-31,4214,Ústí nad Labem,99
2020-12-31,4215,Varnsdorf,94
2020-12-31,4216,Žatec,79
2020-12-31,5101,Česká Lípa,81
2020-12-31,5102,Frýdlant,84
2020-12-31,5103,Jablonec nad Nisou,89
2020-12-31,5104,Jilemnice,80
2020-12-31,5105,Liberec,89
2020-12-31,5106,Nový Bor,81
2020-12-31,5107,Semily,81
2020-12-31,5108,Tanvald,95
2020-12-31,5109,Turnov,81
2020-12-31,5110,Železný Brod,84
2020-12-31,5201,Broumov,104
2020-12-31,5202,Dobruška,94
2020-12-31,5203,Dvůr Králové nad Labem,85
2020-12-31,5204,Hořice,94
2020-12-31,5205,Hradec Králové,94
2020-12-31,5206,Jaroměř,84
2020-12-31,5207,Jičín,95
2020-12-31,5208,Kostelec nad Orlicí,84
2020-12-31,5209,Náchod,89
2020-12-31,5210,Nová Paka,91
2020-12-31,5211,Nové Město nad Metují,94
2020-12-31,5212,Nový Bydžov,95
2020-12-31,5213,Rychnov nad Kněžnou,94
2020-12-31,5214,Trutnov,104
2020-12-31,5215,Vrchlabí,86
2020-12-31,5301,Česká Třebová,83
2020-12-31,5302,Hlinsko,80
2020-12-31,5303,Holice,99
2020-12-31,5304,Chrudim,90
2020-12-31,5305,Králíky,54
2020-12-31,5306,Lanškroun,96
2020-12-31,5307,Litomyšl,100
2020-12-31,5308,Moravská Třebová,78
2020-12-31,5309,Pardubice,99
2020-12-31,5310,Polička,104
2020-12-31,5311,Přelouč,85
2020-12-31,5312,Svitavy,83
2020-12-31,5313,Ústí nad Orlicí,91
2020-12-31,5314,Vysoké Mýto,81
2020-12-31,5315,Žamberk,100
2020-12-31,6101,Bystřice nad Pernštejnem,81
2020-12-31,6102,Havlíčkův Brod,89
2020-12-31,6103,Humpolec,91
2020-12-31,6104,Chotěboř,94
2020-12-31,6105,Jihlava,80
2020-12-31,6106,Moravské Budějovice,86
2020-12-31,6107,Náměšť nad Oslavou,78
2020-12-31,6108,Nové Město na Moravě,90
2020-12-31,6109,Pacov,71
2020-12-31,6110,Pelhřimov,91
2020-12-31,6111,Světlá nad Sázavou,84
2020-12-31,6112,Telč,83
2020-12-31,6113,Třebíč,89
2020-12-31,6114,Velké Meziříčí,66
2020-12-31,6115,Žďár nad Sázavou,84
2020-12-31,6201,Blansko,76
2020-12-31,6202,Boskovice,71
2020-12-31,6203,Brno,80
2020-12-31,6204,Břeclav,80
2020-12-31,6205,Bučovice,100
2020-12-31,6206,Hodonín,80
2020-12-31,6207,Hustopeče,86
2020-12-31,6208,Ivančice,73
2020-12-31,6209,Kuřim,80
2020-12-31,6210,Kyjov,86
2020-12-31,6211,Mikulov,76
2020-12-31,6212,Moravský Krumlov,81
2020-12-31,6213,Pohořelice,85
2020-12-31,6214,Rosice,73
2020-12-31,6215,Slavkov u Brna,94
2020-12-31,6216,Šlapanice,85
2020-12-31,6217,Tišnov,76
2020-12-31,6218,Veselí nad Moravou,95
2020-12-31,6219,Vyškov,89
2020-12-31,6220,Znojmo,91
2020-12-31,6221,Židlochovice,83
