date,code,name,score
2021-06-25,CZ010,Praha,8
2021-06-25,CZ020,Středočeský kraj,4
2021-06-25,CZ031,Jihočeský kraj,4
2021-06-25,CZ032,Plzeňský kraj,4
2021-06-25,CZ041,Karlovarský kraj,0
2021-06-25,CZ042,Ústecký kraj,2
2021-06-25,CZ051,Liberecký kraj,4
2021-06-25,CZ052,Královéhradecký kraj,2
2021-06-25,CZ053,Pardubický kraj,14
2021-06-25,CZ063,Kraj Vysočina,2
2021-06-25,CZ064,Jihomoravský kraj,2
2021-06-25,CZ071,Olomoucký kraj,2
2021-06-25,CZ072,Zlínský kraj,9
2021-06-25,CZ080,Moravskoslezský kraj,4
