den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-10,1000,Praha,5272,619,298,8828,929,420,266,229,21565,1000,Praha,1324277,251166,628.4183747055941,16,True,2,355.939896323547,13,True,2,24.447020635288663,25,True,2,1.5356830760267988,20,80
sobota,2020-10-10,2101,Benešov,233,40,17,315,48,18,15,17,800,2101,Benešov,61022,12125,586.6736586804759,16,True,2,478.35051546391753,13,True,2,29.125,25,True,2,1.806201550387597,30,90
sobota,2020-10-10,2102,Beroun,208,27,10,354,34,15,6,7,1063,2102,Beroun,64927,11392,500.5621698214918,16,True,2,307.23314606741576,13,True,2,19.567262464722486,20,True,2,1.6124031007751938,25,80
sobota,2020-10-10,2103,Brandýs n.L.- St.Boleslav,324,33,12,625,58,22,9,10,1602,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,464.3279603114352,13,True,2,292.39766081871346,13,True,2,20.224719101123593,20,True,2,1.603960396039604,25,77
sobota,2020-10-10,2104,Čáslav,56,7,2,65,8,2,3,2,214,2104,Čáslav,25663,5212,268.86957877099326,13,True,2,153.49194167306217,10,True,2,26.168224299065418,25,True,2,4.3076923076923075,30,84
sobota,2020-10-10,2105,Černošice,580,38,15,1064,80,27,25,20,2522,2105,Černošice,149338,23399,605.3382260375791,16,True,2,307.7054574981837,13,True,2,22.997620935765266,20,True,2,1.5425531914893618,20,75
sobota,2020-10-10,2106,Český Brod,57,4,2,73,7,2,3,4,224,2106,Český Brod,21537,3709,459.67404931048895,13,True,2,269.61445133459154,13,True,2,25.44642857142857,25,True,2,1.5405405405405406,20,77
sobota,2020-10-10,2107,Dobříš,100,5,4,149,12,9,2,4,371,2107,Dobříš,23079,4340,645.608561896096,16,True,2,368.66359447004606,13,True,2,26.954177897574123,25,True,2,1.5625,20,80
sobota,2020-10-10,2108,Hořovice,97,11,3,147,12,3,4,2,433,2108,Hořovice,30131,6103,434.76817895191004,13,True,2,245.78076355890548,13,True,2,22.401847575057737,20,True,2,2.255813953488372,30,82
sobota,2020-10-10,2109,Kladno,345,30,12,470,48,16,13,13,1401,2109,Kladno,125957,24239,446.9779369149789,13,True,2,226.9070506209002,10,True,2,24.62526766595289,25,True,2,1.5610859728506787,20,74
sobota,2020-10-10,2110,Kolín,330,58,33,408,66,37,33,39,1015,2110,Kolín,83500,16849,562.874251497006,16,True,2,457.0004154549232,13,True,2,32.51231527093596,25,True,2,2.323943661971831,30,90
sobota,2020-10-10,2111,Kralupy nad Vltavou,135,13,8,273,23,12,6,5,536,2111,Kralupy nad Vltavou,32515,5889,658.1577733353837,16,True,2,356.5970453387672,13,True,2,25.186567164179102,25,True,2,1.5,20,80
sobota,2020-10-10,2112,Kutná Hora,100,24,14,145,27,14,9,11,477,2112,Kutná Hora,50165,10703,350.8422206717831,13,True,2,345.69746799962627,13,True,2,20.964360587002094,20,True,2,1.5151515151515151,20,72
sobota,2020-10-10,2113,Lysá nad Labem,146,29,17,193,33,19,0,3,505,2113,Lysá nad Labem,26907,3448,810.1980897164307,16,True,2,1392.1113689095127,16,True,2,28.910891089108908,25,True,2,2.0277777777777777,30,93
sobota,2020-10-10,2114,Mělník,151,24,11,284,37,14,8,10,493,2114,Mělník,44600,8655,547.0852017937219,16,True,2,381.2824956672444,13,True,2,30.628803245436103,25,True,2,1.6777777777777778,25,85
sobota,2020-10-10,2115,Mladá Boleslav,380,42,19,516,63,34,13,22,1450,2115,Mladá Boleslav,112464,20603,513.0530658699672,16,True,2,364.02465660340727,13,True,2,26.20689655172414,25,True,2,1.5637860082304527,20,80
sobota,2020-10-10,2116,Mnichovo Hradiště,66,10,0,77,10,0,1,1,301,2116,Mnichovo Hradiště,17901,3388,474.83380816714146,13,True,2,324.6753246753247,13,True,2,21.92691029900332,20,True,2,2.64,30,82
sobota,2020-10-10,2117,Neratovice,83,8,4,180,11,5,2,4,383,2117,Neratovice,32187,5907,456.7061235902694,13,True,2,220.0778737091586,10,True,2,21.671018276762403,20,True,2,1.2769230769230768,15,64
sobota,2020-10-10,2118,Nymburk,131,17,4,177,22,6,4,4,437,2118,Nymburk,40183,8167,500.21153224000193,16,True,2,293.8655565078976,13,True,2,29.97711670480549,25,True,2,1.8450704225352113,30,90
sobota,2020-10-10,2119,Poděbrady,81,10,5,121,26,13,21,6,246,2119,Poděbrady,31382,6883,484.3540883308903,16,True,2,595.6704925177975,16,True,2,32.926829268292686,25,True,2,1.208955223880597,15,78
sobota,2020-10-10,2120,Příbram,267,38,12,371,49,14,8,9,890,2120,Příbram,69951,14592,561.8218467212764,16,True,2,424.890350877193,13,True,2,30.0,25,True,2,1.7919463087248322,25,85
sobota,2020-10-10,2121,Rakovník,124,13,3,165,23,7,3,2,570,2121,Rakovník,55562,11623,354.55887117094414,13,True,2,223.69439903639335,10,True,2,21.75438596491228,20,True,2,1.9682539682539681,30,79
sobota,2020-10-10,2122,Říčany,228,20,4,394,25,6,14,12,1031,2122,Říčany,71896,11376,529.9321241793702,16,True,2,246.13220815752462,13,True,2,22.114451988360813,20,True,2,1.52,20,75
sobota,2020-10-10,2123,Sedlčany,165,17,5,203,19,6,3,4,329,2123,Sedlčany,22074,4717,978.5267735797772,16,True,2,445.19821920712315,13,True,2,50.15197568389058,25,True,2,1.9411764705882353,30,90
sobota,2020-10-10,2124,Slaný,100,15,4,120,17,3,5,4,437,2124,Slaný,40526,7771,404.6784780141144,13,True,2,244.49877750611248,13,True,2,22.883295194508012,20,True,2,1.6666666666666667,25,77
sobota,2020-10-10,2125,Vlašim,114,19,7,173,34,12,8,7,376,2125,Vlašim,25947,5665,770.802019501291,16,True,2,582.5242718446602,16,True,2,30.319148936170215,25,True,2,1.3734939759036144,15,78
sobota,2020-10-10,2126,Votice,69,24,15,111,40,27,11,9,178,2126,Votice,12445,2654,1189.2326235435917,16,True,2,2260.7385079125847,16,True,2,38.764044943820224,25,True,2,0.7666666666666667,0,63
sobota,2020-10-10,3101,Blatná,55,4,2,93,6,2,1,1,207,3101,Blatná,13668,3093,621.8905472636816,16,True,2,193.98642095053347,10,True,2,26.570048309178745,25,False,0,1.4473684210526316,20,75
sobota,2020-10-10,3102,České Budějovice,639,51,20,833,63,25,17,22,2243,3102,České Budějovice,162553,31763,551.2048378067461,16,True,2,280.2002329754746,13,True,2,28.488631297369594,25,True,2,2.332116788321168,30,90
sobota,2020-10-10,3103,Český Krumlov,88,11,5,123,18,7,3,3,337,3103,Český Krumlov,41687,7954,304.6513301508864,13,True,2,213.72894141312545,10,True,2,26.112759643916917,25,True,2,2.2564102564102564,30,84
sobota,2020-10-10,3104,Dačice,18,3,3,25,3,4,4,4,82,3104,Dačice,18783,3961,149.07096842889845,10,True,2,126.23074981065388,10,True,2,21.951219512195124,20,True,2,2.0,30,76
sobota,2020-10-10,3105,Jindřichův Hradec,120,28,15,169,33,19,13,20,708,3105,Jindřichův Hradec,47113,10139,369.3248148069535,13,True,2,355.06460203175857,13,True,2,16.94915254237288,15,True,2,1.8181818181818181,30,77
sobota,2020-10-10,3106,Kaplice,60,4,1,80,6,1,3,1,174,3106,Kaplice,19869,3447,412.70320599929545,13,True,2,174.06440382941688,10,True,2,34.48275862068966,25,True,2,2.608695652173913,30,84
sobota,2020-10-10,3107,Milevsko,80,16,10,94,20,11,6,5,230,3107,Milevsko,18235,4397,581.299698382232,16,True,2,523.0839208551284,16,True,2,34.78260869565217,25,True,2,2.1621621621621623,30,93
sobota,2020-10-10,3108,Písek,152,28,8,208,31,10,11,13,639,3108,Písek,53352,11354,436.72214724846305,13,True,2,325.87634313898184,13,True,2,23.78716744913928,25,True,2,1.7471264367816093,25,82
sobota,2020-10-10,3109,Prachatice,70,9,2,98,9,2,3,2,268,3109,Prachatice,33458,6497,298.88218064439,13,True,2,153.91719255040786,10,True,2,26.119402985074625,25,True,2,1.9444444444444444,30,84
sobota,2020-10-10,3110,Soběslav,69,8,3,93,8,3,5,5,225,3110,Soběslav,21947,4860,469.3124345012986,13,True,2,246.91358024691357,13,True,2,30.666666666666664,25,True,2,2.090909090909091,30,87
sobota,2020-10-10,3111,Strakonice,115,11,5,194,25,13,12,11,546,3111,Strakonice,45223,9454,349.3797403975853,13,True,2,243.28326634228898,13,True,2,21.062271062271062,20,True,2,2.169811320754717,30,82
sobota,2020-10-10,3112,Tábor,269,34,16,357,49,24,34,32,743,3112,Tábor,80648,17257,500.9423668286876,16,True,2,318.71124760966563,13,True,2,36.20457604306864,25,True,2,1.9779411764705883,30,90
sobota,2020-10-10,3113,Trhové Sviny,72,13,5,106,16,6,6,7,201,3113,Trhové Sviny,19267,3657,539.783048736181,16,True,2,492.2067268252666,16,True,2,35.82089552238806,25,True,2,2.1818181818181817,30,93
sobota,2020-10-10,3114,Třeboň,51,6,3,88,8,4,4,4,248,3114,Třeboň,24796,5563,354.89595095983225,13,True,2,161.78321049793277,10,True,2,20.56451612903226,20,True,2,1.457142857142857,20,69
sobota,2020-10-10,3115,Týn nad Vltavou,55,4,1,74,5,2,4,3,155,3115,Týn nad Vltavou,14083,2594,553.8592629411347,16,True,2,192.75250578257518,10,True,2,35.483870967741936,25,True,2,2.619047619047619,30,87
sobota,2020-10-10,3116,Vimperk,29,5,4,60,7,4,5,3,172,3116,Vimperk,17520,3591,291.09589041095893,13,True,2,194.9317738791423,10,True,2,16.86046511627907,15,False,0,1.2608695652173914,15,57
sobota,2020-10-10,3117,Vodňany,30,2,2,55,8,4,2,2,133,3117,Vodňany,11881,2251,378.75599696995204,13,True,2,177.6988005330964,10,True,2,22.55639097744361,20,False,0,1.875,30,77
sobota,2020-10-10,3201,Blovice,32,7,3,42,11,5,2,2,114,3201,Blovice,12185,2566,361.0997127615921,13,True,2,428.68277474668747,13,True,2,28.07017543859649,25,True,2,1.8823529411764706,30,87
sobota,2020-10-10,3202,Domažlice,82,9,6,100,12,7,9,8,352,3202,Domažlice,40679,8358,304.82558568303057,13,True,2,119.64584828906438,7,True,2,23.295454545454543,25,True,2,1.607843137254902,25,76
sobota,2020-10-10,3203,Horažďovice,30,2,1,40,3,1,0,1,139,3203,Horažďovice,11535,2662,372.7785002167317,13,True,2,150.26296018031556,10,True,2,21.58273381294964,20,False,0,1.7647058823529411,25,72
sobota,2020-10-10,3204,Horšovský Týn,24,2,1,30,3,2,2,2,101,3204,Horšovský Týn,14825,2829,229.34232715008432,10,True,2,106.04453870625663,7,True,2,23.762376237623762,25,True,2,2.4,30,78
sobota,2020-10-10,3205,Klatovy,152,16,5,183,17,5,11,9,781,3205,Klatovy,50720,10750,374.6056782334385,13,True,2,195.34883720930233,10,True,2,19.46222791293214,20,True,2,2.235294117647059,30,79
sobota,2020-10-10,3206,Kralovice,145,17,8,190,23,10,8,8,434,3206,Kralovice,22367,4828,943.3540483748379,16,True,2,497.10024855012426,16,True,2,33.41013824884793,25,True,2,1.8831168831168832,30,93
sobota,2020-10-10,3207,Nepomuk,18,4,1,33,6,2,0,0,86,3207,Nepomuk,11583,2650,276.2669429336096,13,True,2,150.94339622641508,10,True,2,20.930232558139537,20,True,2,1.5,20,69
sobota,2020-10-10,3208,Nýřany,183,25,9,237,27,10,12,12,784,3208,Nýřany,57612,10436,518.9890994931612,16,True,2,364.1241855116903,13,True,2,23.341836734693878,25,True,2,1.316546762589928,15,75
sobota,2020-10-10,3209,Plzeň,699,87,44,961,111,54,56,48,2764,3209,Plzeň,194280,40386,557.9575869878526,16,True,2,321.8937255484574,13,True,2,25.28943560057887,25,True,2,1.389662027833002,15,75
sobota,2020-10-10,3210,Přeštice,91,4,1,121,7,3,3,3,313,3210,Přeštice,22885,4449,568.0576797028622,16,True,2,179.81568891885817,10,True,2,29.073482428115017,25,True,2,1.8571428571428572,30,87
sobota,2020-10-10,3211,Rokycany,138,7,1,170,14,4,2,3,563,3211,Rokycany,49349,10085,372.8545664552473,13,True,2,128.90431333663858,10,True,2,24.51154529307282,25,True,2,2.0597014925373136,30,84
sobota,2020-10-10,3212,Stod,63,6,3,91,7,3,2,5,271,3212,Stod,23393,4517,440.302654640277,13,True,2,177.10870046491033,10,True,2,23.247232472324722,25,True,2,1.105263157894737,10,64
sobota,2020-10-10,3213,Stříbro,29,6,3,36,5,3,6,5,114,3213,Stříbro,17190,3184,238.5107620709715,10,True,2,188.44221105527637,10,True,2,25.438596491228072,25,True,2,1.7058823529411764,25,76
sobota,2020-10-10,3214,Sušice,59,7,5,74,11,7,5,5,198,3214,Sušice,24150,5546,310.5590062111801,13,True,2,216.37216011539851,10,True,2,29.797979797979796,25,True,2,2.5652173913043477,30,84
sobota,2020-10-10,3215,Tachov,52,9,5,71,10,4,8,8,290,3215,Tachov,37146,6444,218.05847197544824,10,True,2,217.25636250775915,10,True,2,17.93103448275862,15,True,2,1.3333333333333333,15,56
sobota,2020-10-10,4101,Aš,21,3,1,31,6,2,5,7,148,4101,Aš,17695,3278,169.53941791466517,10,True,2,152.5320317266626,10,True,2,14.18918918918919,11,True,2,2.1,30,67
sobota,2020-10-10,4102,Cheb,113,35,14,201,54,19,13,15,464,4102,Cheb,49955,9806,402.36212591332196,13,True,2,611.8702834998979,16,True,2,24.353448275862068,25,True,2,1.0462962962962963,10,70
sobota,2020-10-10,4103,Karlovy Vary,163,28,12,239,40,17,18,21,694,4103,Karlovy Vary,87182,19250,275.28618292766856,13,True,2,223.37662337662337,10,True,2,23.487031700288185,25,True,2,1.5980392156862746,20,74
sobota,2020-10-10,4104,Kraslice,8,4,2,13,6,4,2,1,74,4104,Kraslice,13184,2750,113.77427184466019,7,True,2,254.54545454545456,13,True,2,10.81081081081081,7,False,0,2.0,30,61
sobota,2020-10-10,4105,Mariánské Lázně,36,7,1,64,10,2,5,5,185,4105,Mariánské Lázně,23984,5419,241.8278852568379,13,True,2,221.44307067724674,10,True,2,19.45945945945946,20,True,2,1.565217391304348,20,69
sobota,2020-10-10,4106,Ostrov,36,9,3,56,10,3,5,4,234,4106,Ostrov,27636,5453,206.25271385149804,10,False,0,275.0779387493123,13,True,2,15.384615384615385,15,True,2,1.3333333333333333,15,57
sobota,2020-10-10,4107,Sokolov,109,24,8,156,30,11,10,15,593,4107,Sokolov,75028,14222,222.58356880098094,10,True,2,246.09759527492616,13,True,2,18.381112984822934,15,True,2,1.7868852459016393,25,69
sobota,2020-10-10,4201,Bílina,15,1,0,23,3,0,1,0,79,4201,Bílina,22600,3935,101.76991150442477,7,True,2,101.65184243964421,7,True,2,18.9873417721519,15,True,2,1.6666666666666667,25,60
sobota,2020-10-10,4202,Děčín,159,21,7,229,55,18,19,15,481,4202,Děčín,76842,16362,337.05525624007703,13,True,2,360.59161471702726,13,True,2,33.056133056133056,25,True,2,1.5288461538461537,20,77
sobota,2020-10-10,4203,Chomutov,210,22,14,279,38,18,27,24,657,4203,Chomutov,81662,14681,399.206485268546,13,True,2,401.8799809277297,13,True,2,31.963470319634702,25,True,2,1.627906976744186,25,82
sobota,2020-10-10,4204,Kadaň,83,9,3,114,17,7,10,8,330,4204,Kadaň,43284,8078,318.82450790130304,13,True,2,358.99975241396385,13,True,2,25.151515151515152,25,True,2,1.7291666666666667,25,82
sobota,2020-10-10,4205,Litoměřice,261,37,10,360,47,14,17,17,639,4205,Litoměřice,59110,11658,609.034004398579,16,True,2,360.2676273803397,13,True,2,40.845070422535215,25,True,2,2.0714285714285716,30,90
sobota,2020-10-10,4206,Litvínov,39,1,0,62,4,2,1,0,200,4206,Litvínov,37035,7785,224.1123261779398,10,True,2,77.07129094412332,7,True,2,19.5,20,True,2,1.1818181818181819,10,53
sobota,2020-10-10,4207,Louny,84,19,15,112,24,19,3,3,316,4207,Louny,43640,8545,265.81118240146657,13,True,2,304.2715038033938,13,True,2,26.582278481012654,25,True,2,2.3333333333333335,30,87
sobota,2020-10-10,4208,Lovosice,113,7,5,157,10,5,4,4,280,4208,Lovosice,27750,5804,529.7297297297297,16,True,2,189.52446588559616,10,True,2,40.35714285714286,25,True,2,2.3541666666666665,30,87
sobota,2020-10-10,4209,Most,123,11,1,172,16,3,9,8,526,4209,Most,74673,13629,259.7993920158558,13,True,2,117.3967275662191,7,True,2,23.38403041825095,25,True,2,1.5769230769230769,20,71
sobota,2020-10-10,4210,Podbořany,28,5,1,47,10,2,1,0,80,4210,Podbořany,15678,3106,287.0264064293915,13,True,2,321.95750160978747,13,True,2,35.0,25,True,2,1.75,25,82
sobota,2020-10-10,4211,Roudnice nad Labem,149,20,7,237,30,8,10,10,417,4211,Roudnice nad Labem,32808,6650,743.7210436478907,16,True,2,436.0902255639097,13,True,2,35.73141486810552,25,True,2,1.5520833333333333,20,80
sobota,2020-10-10,4212,Rumburk,44,5,1,65,8,3,6,5,231,4212,Rumburk,32795,6681,201.25019057783197,10,False,0,104.77473432120941,7,True,2,19.047619047619047,20,True,2,2.0952380952380953,30,71
sobota,2020-10-10,4213,Teplice,175,23,11,248,27,8,11,16,842,4213,Teplice,106472,21215,266.7367946502367,13,True,2,155.55031817110535,10,True,2,20.783847980997624,20,True,2,1.5625,20,69
sobota,2020-10-10,4214,Ústí nad Labem,357,40,12,459,45,15,21,26,1329,4214,Ústí nad Labem,119338,23971,436.57510600144127,13,True,2,212.7570814734471,10,True,2,26.86230248306998,25,True,2,1.8121827411167513,30,84
sobota,2020-10-10,4215,Varnsdorf,16,6,2,30,15,4,4,1,101,4215,Varnsdorf,19905,4211,160.76362722933936,10,False,0,356.20992638328187,13,True,2,15.841584158415841,15,True,2,0.8888888888888888,5,47
sobota,2020-10-10,4216,Žatec,32,1,0,55,4,0,1,1,152,4216,Žatec,27373,5216,219.1940963723377,10,True,2,76.68711656441718,7,True,2,21.052631578947366,20,True,2,1.1428571428571428,10,53
sobota,2020-10-10,5101,Česká Lípa,118,18,7,151,27,13,7,7,490,5101,Česká Lípa,76998,14036,210.39507519675834,10,True,2,213.73610715303505,10,True,2,24.081632653061224,25,True,2,2.5106382978723403,30,81
sobota,2020-10-10,5102,Frýdlant,42,10,4,54,12,5,1,1,183,5102,Frýdlant,24479,4944,257.3634543894767,13,True,2,222.49190938511327,10,True,2,22.950819672131146,20,True,2,1.826086956521739,30,79
sobota,2020-10-10,5103,Jablonec nad Nisou,186,45,25,241,51,27,9,10,667,5103,Jablonec nad Nisou,56206,11517,455.46738782336405,13,True,2,451.5064686984458,13,True,2,27.886056971514243,25,True,2,2.1379310344827585,30,87
sobota,2020-10-10,5104,Jilemnice,49,7,4,71,10,5,5,5,178,5104,Jilemnice,22137,4768,356.86859104666394,13,True,2,209.73154362416108,10,True,2,27.52808988764045,25,True,2,1.6333333333333333,25,79
sobota,2020-10-10,5105,Liberec,719,90,31,953,116,40,28,27,2685,5105,Liberec,145676,28910,757.1597243197233,16,True,2,435.83535108958836,13,True,2,26.778398510242084,25,True,2,1.5802197802197802,20,80
