den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-31,1000,Praha,7987,1314,671,15375,2361,1201,698,577,30699,1000,Praha,1324277,251166,1305.844623141533,16,True,2,1068.61597509217,16,True,2,26.017134108602885,25,False,0,0.8303357937415532,5,66
sobota,2020-10-31,2101,Benešov,833,122,43,1046,151,47,43,38,2055,2101,Benešov,61022,12125,2548.2612828160336,16,True,2,1632.9896907216496,16,True,2,40.5352798053528,25,True,2,1.1047745358090186,10,73
sobota,2020-10-31,2102,Beroun,472,65,37,863,123,68,23,54,1619,2102,Beroun,64927,11392,1589.4774130947062,16,True,2,1255.2668539325841,16,True,2,29.153798641136504,25,False,0,0.8428571428571429,5,66
sobota,2020-10-31,2103,Brandýs n.L.- St.Boleslav,745,74,23,1322,133,34,31,31,2675,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,1388.570117053018,16,True,2,913.7426900584795,16,True,2,27.850467289719628,25,True,2,0.8723653395784543,5,68
sobota,2020-10-31,2104,Čáslav,172,22,9,276,37,19,5,4,610,2104,Čáslav,25663,5212,1574.2508670069749,16,True,2,882.5786646201074,16,True,2,28.196721311475407,25,False,0,0.7478260869565218,0,61
sobota,2020-10-31,2105,Černošice,1009,141,68,2184,258,126,63,59,3957,2105,Černošice,149338,23399,1509.9974554366604,16,True,2,1106.8849096115218,16,True,2,25.499115491533992,25,False,0,0.7888975762314308,0,61
sobota,2020-10-31,2106,Český Brod,161,30,16,200,36,14,10,10,424,2106,Český Brod,21537,3709,1420.8106978687838,16,True,2,1294.1493664060395,16,True,2,37.971698113207545,25,True,2,1.15,10,73
sobota,2020-10-31,2107,Dobříš,203,42,19,333,62,29,17,16,672,2107,Dobříš,23079,4340,1971.4892326357294,16,True,2,2027.6497695852536,16,True,2,30.208333333333332,25,False,0,0.7660377358490567,0,61
sobota,2020-10-31,2108,Hořovice,195,29,10,348,52,25,9,16,725,2108,Hořovice,30131,6103,1427.1016561016893,16,True,2,1097.8207438964444,16,True,2,26.89655172413793,25,False,0,0.8441558441558441,5,66
sobota,2020-10-31,2109,Kladno,822,121,63,1131,158,72,43,41,2770,2109,Kladno,125957,24239,1278.2139936645046,16,True,2,870.4979578365444,16,True,2,29.67509025270758,25,True,2,1.0135635018495683,10,73
sobota,2020-10-31,2110,Kolín,697,106,55,830,134,69,54,55,1969,2110,Kolín,83500,16849,1588.0239520958082,16,True,2,1192.949136447267,16,True,2,35.39867953275774,25,True,2,1.1370309951060358,10,73
sobota,2020-10-31,2111,Kralupy nad Vltavou,176,39,28,256,52,38,8,8,653,2111,Kralupy nad Vltavou,32515,5889,1116.4078117791787,16,True,2,1103.7527593818986,16,True,2,26.952526799387442,25,False,0,0.8585365853658536,5,66
sobota,2020-10-31,2112,Kutná Hora,285,48,26,399,81,47,18,13,910,2112,Kutná Hora,50165,10703,1068.4740356822485,16,True,2,953.0038307016724,16,True,2,31.318681318681318,25,True,2,1.1220472440944882,10,73
sobota,2020-10-31,2113,Lysá nad Labem,199,14,5,294,24,11,11,12,616,2113,Lysá nad Labem,26907,3448,1620.3961794328613,16,True,2,899.0719257540603,16,True,2,32.3051948051948,25,False,0,0.8844444444444445,5,66
sobota,2020-10-31,2114,Mělník,361,88,59,554,110,67,21,28,1153,2114,Mělník,44600,8655,1582.9596412556052,16,True,2,1860.1964182553436,16,True,2,31.309627059843887,25,False,0,1.046376811594203,10,71
sobota,2020-10-31,2115,Mladá Boleslav,878,126,58,1279,167,68,55,55,2730,2115,Mladá Boleslav,112464,20603,1507.1489543320529,16,True,2,956.1714313449498,16,True,2,32.16117216117216,25,True,2,1.0057273768613975,10,73
sobota,2020-10-31,2116,Mnichovo Hradiště,119,14,2,176,19,3,4,1,358,2116,Mnichovo Hradiště,17901,3388,1256.913021618904,16,True,2,678.866587957497,16,True,2,33.24022346368715,25,True,2,1.0347826086956522,10,73
sobota,2020-10-31,2117,Neratovice,228,33,10,328,42,14,10,12,733,2117,Neratovice,32187,5907,1314.1951719638364,16,True,2,914.1696292534281,16,True,2,31.105047748976805,25,False,0,1.0961538461538463,10,71
sobota,2020-10-31,2118,Nymburk,265,28,9,384,40,13,16,13,763,2118,Nymburk,40183,8167,1383.6697110718462,16,True,2,759.1526876454022,16,True,2,34.73132372214941,25,False,0,0.9566787003610109,5,66
sobota,2020-10-31,2119,Poděbrady,160,34,16,225,49,22,17,14,466,2119,Poděbrady,31382,6883,1096.1697788541203,16,True,2,973.412756065669,16,True,2,34.33476394849785,25,True,2,0.9302325581395349,5,68
