den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
úterý,2020-11-10,1000,Praha,4099,934,510,11913,2185,1169,659,353,22254,1000,Praha,1324277,251166,CZ010,Praha,803.6083085336377,16,False,0,839.2855720917642,16,True,2,18.41916060034151,15,False,0,0.6929839391377853,0,49
úterý,2020-11-10,2101,Benešov,542,110,62,787,159,83,60,39,1445,2101,Benešov,61022,12125,CZ020,Středočeský kraj,1958.3101176624825,20,False,0,1764.9484536082473,20,True,2,37.508650519031136,30,True,2,0.8562401263823065,5,79
úterý,2020-11-10,2102,Beroun,314,59,27,691,111,58,15,13,1377,2102,Beroun,64927,11392,CZ020,Středočeský kraj,1124.3396429836587,20,False,0,983.1460674157303,20,True,2,22.80319535221496,20,False,0,0.7319347319347319,0,62
úterý,2020-11-10,2103,Brandýs n.L.- St.Boleslav,413,53,19,1052,116,37,27,18,1803,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,939.2489539379602,16,False,0,755.3606237816764,16,True,2,22.90626733222407,20,False,0,0.6423017107309487,0,54
úterý,2020-11-10,2104,Čáslav,157,35,23,220,42,20,17,21,430,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,1211.8614347504188,20,False,0,1151.1895625479663,20,True,2,36.51162790697675,30,True,2,0.9874213836477987,5,79
úterý,2020-11-10,2105,Černošice,486,83,37,1584,207,92,62,33,2515,2105,Černošice,149338,23399,CZ020,Středočeský kraj,881.8920837295263,16,False,0,888.9268772169751,16,True,2,19.324055666003975,20,False,0,0.6759388038942976,0,54
úterý,2020-11-10,2106,Český Brod,101,21,12,162,29,14,8,6,400,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,1151.506709383851,20,False,0,1321.1108115394984,20,True,2,25.25,25,False,0,0.6824324324324325,0,67
úterý,2020-11-10,2107,Dobříš,146,28,19,275,47,27,9,8,490,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,1429.8713115819576,20,False,0,1382.4884792626729,20,True,2,29.795918367346943,30,True,2,0.7156862745098039,0,74
úterý,2020-11-10,2108,Hořovice,99,19,13,230,35,23,10,12,467,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,975.7392718462713,20,False,0,753.7276749139768,16,True,2,21.199143468950748,20,False,0,0.6226415094339622,0,58
úterý,2020-11-10,2109,Kladno,604,159,87,999,221,124,44,40,2597,2109,Kladno,125957,24239,CZ020,Středočeský kraj,1062.2672816913707,20,False,0,1159.2887495358718,20,True,2,23.257604928763957,25,False,0,0.7895424836601307,0,67
úterý,2020-11-10,2110,Kolín,496,91,40,767,136,55,37,30,1781,2110,Kolín,83500,16849,CZ020,Středočeský kraj,1532.934131736527,20,False,0,1246.3647694225176,20,True,2,27.849522740033688,30,False,0,0.5975903614457831,0,72
úterý,2020-11-10,2111,Kralupy nad Vltavou,120,30,19,231,54,34,11,13,580,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,898.0470552052899,16,False,0,1290.5416878926812,20,True,2,20.689655172413794,20,False,0,0.6976744186046512,0,58
úterý,2020-11-10,2112,Kutná Hora,271,47,26,477,76,38,16,19,1049,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,1140.2372171832951,20,False,0,859.5720825936653,16,True,2,25.83412774070543,25,False,0,0.7900874635568513,0,63
úterý,2020-11-10,2113,Lysá nad Labem,102,7,5,202,15,7,11,6,457,2113,Lysá nad Labem,26907,3448,CZ020,Středočeský kraj,1114.9514996097669,20,False,0,638.0510440835267,16,True,2,22.319474835886215,20,False,0,0.5964912280701754,0,58
úterý,2020-11-10,2114,Mělník,207,31,12,549,104,60,16,19,801,2114,Mělník,44600,8655,CZ020,Středočeský kraj,1264.5739910313903,20,False,0,1455.8058925476603,20,True,2,25.842696629213485,25,False,0,0.6124260355029586,0,67
úterý,2020-11-10,2115,Mladá Boleslav,706,141,96,1243,211,127,57,45,2457,2115,Mladá Boleslav,112464,20603,CZ020,Středočeský kraj,1371.9945938255796,20,False,0,1257.0984808037665,20,True,2,28.734228734228733,30,True,2,0.8325471698113207,5,79
