den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,1000,Praha,3316,791,497,10591,2142,1234,602,347,19892,1000,Praha,1324277,251166,CZ010,Praha,663.8339259837633,16,False,0,773.9901101263706,16,True,2,16.67001809772773,15,False,0,0.7050818626408676,0,49
pátek,2020-11-13,2101,Benešov,283,43,25,745,152,81,52,31,1039,2101,Benešov,61022,12125,CZ020,Středočeský kraj,1486.3491855396414,20,False,0,1385.5670103092782,20,True,2,27.237728585178054,30,False,0,0.5431861804222649,0,72
pátek,2020-11-13,2102,Beroun,219,37,15,672,99,45,5,11,1089,2102,Beroun,64927,11392,CZ020,Středočeský kraj,964.1597486407811,20,False,0,948.0337078651686,16,True,2,20.110192837465565,20,False,0,0.6384839650145773,0,58
pátek,2020-11-13,2103,Brandýs n.L.- St.Boleslav,359,114,70,1102,195,96,30,20,1582,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,835.9668791158348,16,False,0,1108.6744639376218,20,True,2,22.692793931731988,20,False,0,0.7123015873015873,0,58
pátek,2020-11-13,2104,Čáslav,159,38,24,276,58,34,24,20,500,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,1270.3113431788956,20,False,0,1438.9869531849579,20,True,2,31.8,30,True,2,1.0816326530612246,10,84
pátek,2020-11-13,2105,Černošice,360,61,31,1482,202,94,42,24,2177,2105,Černošice,149338,23399,CZ020,Středočeský kraj,695.0675648528841,16,False,0,743.6215222872772,16,True,2,16.536518144235185,15,False,0,0.6521739130434783,0,49
pátek,2020-11-13,2106,Český Brod,63,13,7,163,32,16,6,3,278,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,984.3525096345825,20,False,0,1132.3806956052845,20,True,2,22.66187050359712,20,False,0,0.5338983050847458,0,62
pátek,2020-11-13,2107,Dobříš,115,18,10,288,52,33,15,12,404,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,1260.8865202131808,20,False,0,1198.1566820276498,20,True,2,28.465346534653463,30,True,2,0.732484076433121,0,74
pátek,2020-11-13,2108,Hořovice,92,16,5,238,36,19,8,12,460,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,766.6522850220703,16,False,0,704.5715222021956,16,True,2,20.0,20,False,0,0.8288288288288288,5,59
pátek,2020-11-13,2109,Kladno,483,109,57,1019,243,140,41,29,2325,2109,Kladno,125957,24239,CZ020,Středočeský kraj,942.3850996768738,16,False,0,1163.4143322744337,20,True,2,20.774193548387096,20,False,0,0.7582417582417582,0,58
