den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pondělí,2021-06-21,1000,Praha,230,19,17,357,0,0,20,19,20284,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,30.96029002995597,4,False,0,9.15729039758566,0,True,2,1.1338986393216328,0,False,0,1.4024390243902438,20,26
pondělí,2021-06-21,2101,Benešov,5,0,0,1,0,0,0,0,399,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,14.74877912883878,2,False,0,16.49484536082474,2,True,2,1.2531328320802004,0,False,0,5.0,30,36
pondělí,2021-06-21,2102,Beroun,0,0,0,9,2,0,0,0,429,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,6.1607651670337455,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,2103,Brandýs n.L.- St.Boleslav,12,0,0,26,0,0,0,0,1004,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,16.772302748892145,2,False,0,0.0,0,False,0,1.1952191235059761,0,True,2,1.5,20,24
pondělí,2021-06-21,2104,Čáslav,0,0,0,0,0,0,0,1,664,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,7.793321123796907,0,False,0,19.18649270913277,2,True,2,0.0,0,False,0,0.0,0,4
pondělí,2021-06-21,2105,Černošice,12,1,1,49,11,6,1,1,1663,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,19.419036012267476,2,False,0,4.273686909696996,0,True,2,0.7215874924834637,0,False,0,1.5,20,24
pondělí,2021-06-21,2106,Český Brod,0,0,0,6,0,0,0,0,111,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,27.859033291544783,4,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,4
pondělí,2021-06-21,2107,Dobříš,0,0,0,10,7,7,0,0,134,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,8.66588673686035,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,2108,Hořovice,0,0,0,8,0,0,0,0,214,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,9.956523182104808,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,2109,Kladno,15,3,0,35,11,5,0,0,1632,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,22.229808585469645,2,True,0,20.62791369280911,2,True,2,0.9191176470588236,0,False,0,1.6666666666666667,25,31
pondělí,2021-06-21,2110,Kolín,4,0,0,25,14,11,0,0,337,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,9.580838323353294,0,False,0,0.0,0,False,0,1.1869436201780417,0,False,0,1.0,10,10
pondělí,2021-06-21,2111,Kralupy nad Vltavou,2,0,0,8,1,0,0,0,226,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,CZ,ČR,18.453021682300477,2,False,0,0.0,0,False,0,0.8849557522123894,0,False,0,0.0,0,2
pondělí,2021-06-21,2112,Kutná Hora,1,1,1,14,9,5,1,0,245,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,CZ,ČR,11.960530250174424,2,False,0,9.34317481080071,0,True,2,0.40816326530612246,0,False,0,0.3333333333333333,0,4
