code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,847,5097,1324277,251166,20454,743.8776026465762,16,True,0,648.176902924759,16,True,2,24.919331182164857,25,True,2,1.0472570371892336,10,71,2021-02-01
CZ020,Středočeský kraj,993,6229,1385141,255825,21535,907.7054249350788,16,False,0,791.55672823219,16,True,2,28.925005804504295,30,False,0,0.9716112930900016,5,69,2021-02-01
CZ031,Jihočeský kraj,415,2416,644083,131832,8775,743.0719332756803,16,False,0,711.5116208507798,16,True,2,27.532763532763532,30,False,0,0.9897582957804179,5,69,2021-02-01
CZ032,Plzeňský kraj,459,3015,589899,119690,8844,970.166079277978,20,True,0,715.1808839502047,16,True,2,34.090909090909086,30,True,2,1.0927872417542588,10,80,2021-02-01
CZ041,Karlovarský kraj,533,3327,294664,60178,6060,1974.7916270735484,20,True,0,1633.4873209478546,20,True,2,54.9009900990099,30,True,2,1.296065446045968,15,89,2021-02-01
CZ042,Ústecký kraj,503,2753,820965,161527,8883,670.0651063078207,16,False,0,634.5688336934383,16,True,2,30.991782055611843,30,True,2,0.9960202604920405,5,71,2021-02-01
CZ051,Liberecký kraj,423,2460,443690,89906,7688,1093.5563118393472,20,False,0,937.6459858073989,16,True,2,31.997918834547345,30,True,2,1.017790649565577,10,80,2021-02-01
CZ052,Královéhradecký kraj,872,5235,551647,119407,12254,1869.1300777489953,20,True,0,1473.1129665764988,20,True,2,42.72074424677656,30,True,2,1.0309176841276093,10,84,2021-02-01
CZ053,Pardubický kraj,404,2876,522662,106085,8189,1062.6370388511123,20,False,0,796.5310835650657,16,True,2,35.12028330687508,30,True,2,1.0893939393939394,10,80,2021-02-01
CZ063,Kraj Vysočina,322,1555,509813,104291,5129,637.8809485046478,16,False,0,583.9430056284818,16,True,2,30.317800740885165,30,False,0,0.9516523867809058,5,69,2021-02-01
CZ064,Jihomoravský kraj,703,4168,1191989,238620,14710,712.2548949696684,16,False,0,607.6607157824155,16,True,2,28.33446634942216,30,False,0,0.9572806614607258,5,69,2021-02-01
CZ071,Olomoucký kraj,391,2425,632015,130935,7880,783.5257074594749,16,False,0,626.2649406193913,16,True,2,30.774111675126903,30,False,0,0.9653662420382165,5,69,2021-02-01
CZ072,Zlínský kraj,271,1734,582555,121339,6541,688.6903382513239,16,False,0,550.5237392759129,16,True,2,26.50970799571931,30,False,0,0.8516699410609038,5,69,2021-02-01
CZ080,Moravskoslezský kraj,683,4096,1200539,240829,16346,741.5835720455563,16,False,0,665.2022804562573,16,True,2,25.05811819405359,25,False,0,0.8875406283856988,5,64,2021-02-01
